165.255.73.88	53281	ZA	South Africa	elite proxy	no	yes	1 minute ago
181.129.74.58	58731	CO	Colombia	elite proxy	no	yes	1 minute ago
190.152.5.126	53040	EC	Ecuador	elite proxy	no	yes	1 minute ago
181.113.131.98	47961	EC	Ecuador	elite proxy	no	yes	1 minute ago
58.162.229.173	51536	AU	Australia	elite proxy	no	yes	1 minute ago
176.9.40.23	3128	DE	Germany	elite proxy	no	yes	1 minute ago
200.52.141.162	53281	MX	Mexico	elite proxy	no	yes	1 minute ago
113.254.98.40	8888	HK	Hong Kong	anonymous	no	yes	1 minute ago
80.59.199.213	8080	ES	Spain	elite proxy	no	yes	1 minute ago
80.59.199.212	8080	ES	Spain	elite proxy	no	yes	1 minute ago
124.41.213.44	53931	NP	Nepal	elite proxy	no	yes	1 minute ago
36.89.182.47	51011	ID	Indonesia	elite proxy	no	yes	1 minute ago
185.151.151.211	8080	SY	Syrian Arab Republic	elite proxy	no	yes	1 minute ago
43.252.158.21	56595	ID	Indonesia	elite proxy	no	yes	1 minute ago
111.118.128.140	41344	KH	Cambodia	elite proxy	no	yes	1 minute ago
187.45.13.190	54963	BR	Brazil	elite proxy	no	yes	1 minute ago
70.35.213.229	36127	CA	Canada	elite proxy	no	yes	1 minute ago
177.46.147.89	55166	BR	Brazil	elite proxy	no	yes	1 minute ago
174.127.155.118	32505	US	United States	elite proxy	no	yes	1 minute ago
93.91.112.247	41258	RU	Russian Federation	elite proxy	no	yes	1 minute ago
94.153.169.22	59177	UA	Ukraine	elite proxy	no	yes	1 minute ago
80.240.115.254	36539	RU	Russian Federation	elite proxy	no	yes	1 minute ago
194.143.151.96	39072	RU	Russian Federation	elite proxy	no	yes	1 minute ago
194.213.43.166	38170	CZ	Czech Republic	elite proxy	no	yes	2 minutes ago
201.55.164.229	3128	BR	Brazil	anonymous	no	yes	2 minutes ago
144.76.214.153	1080	DE	Germany	elite proxy	no	yes	2 minutes ago
144.76.214.155	1080	DE	Germany	elite proxy	no	yes	2 minutes ago
186.251.158.191	23500	BR	Brazil	elite proxy	no	yes	2 minutes ago
181.168.206.106	38024	AR	Argentina	elite proxy	no	yes	2 minutes ago
138.36.20.43	37371	BR	Brazil	elite proxy	no	yes	2 minutes ago
185.21.217.8	3128	AU	Australia	elite proxy	no	yes	10 minutes ago
170.246.85.107	50991	EC	Ecuador	elite proxy	no	yes	10 minutes ago
182.23.54.146	48674	ID	Indonesia	elite proxy	no	yes	10 minutes ago
46.0.203.186	8080	RU	Russian Federation	elite proxy	no	yes	10 minutes ago
118.175.207.129	48139	TH	Thailand	elite proxy	no	yes	10 minutes ago
118.174.232.128	45019	TH	Thailand	elite proxy	no	yes	10 minutes ago
92.249.122.108	61778	UA	Ukraine	elite proxy	no	yes	10 minutes ago
37.123.222.124	8080	RU	Russian Federation	anonymous	no	yes	10 minutes ago
124.158.144.186	8080	ID	Indonesia	elite proxy	no	yes	10 minutes ago
118.99.118.37	23500	ID	Indonesia	elite proxy	no	yes	10 minutes ago
117.103.5.186	44825	ID	Indonesia	elite proxy	no	yes	10 minutes ago
116.254.100.165	46675	ID	Indonesia	anonymous	no	yes	10 minutes ago
125.27.251.57	41425	TH	Thailand	elite proxy	no	yes	10 minutes ago
177.94.206.67	60666	BR	Brazil	elite proxy	no	yes	10 minutes ago
93.185.96.62	41003	CZ	Czech Republic	elite proxy	no	yes	10 minutes ago
80.90.88.147	33617	AL	Albania	elite proxy	no	yes	10 minutes ago
91.203.114.74	58074	UA	Ukraine	elite proxy	no	yes	10 minutes ago
103.221.254.102	31117	BD	Bangladesh	elite proxy	no	yes	10 minutes ago
176.101.89.226	33470	RU	Russian Federation	elite proxy	no	yes	10 minutes ago
186.249.75.6	61982	BR	Brazil	elite proxy	no	yes	10 minutes ago
167.86.89.60	3128	DE	Germany	anonymous	no	yes	10 minutes ago
102.176.160.70	61279	GN	Guinea	elite proxy	no	yes	10 minutes ago
181.211.245.74	44267	EC	Ecuador	elite proxy	no	yes	10 minutes ago
118.175.93.148	42409	TH	Thailand	elite proxy	no	yes	10 minutes ago
95.181.37.114	39876	RU	Russian Federation	elite proxy	no	yes	10 minutes ago
49.0.1.44	8080	ID	Indonesia	elite proxy	no	yes	10 minutes ago
62.213.14.166	8080	RU	Russian Federation	elite proxy	no	yes	10 minutes ago
102.164.214.225	45528	BW	Botswana	elite proxy	no	yes	10 minutes ago
203.153.20.64	53281	ID	Indonesia	elite proxy	no	yes	10 minutes ago
89.34.208.223	45168	RO	Romania	elite proxy	no	yes	10 minutes ago
